model,curve,x,y
Logistic Regression (unweighted),PR,0.9772727272727273,0.09851088201603665
Logistic Regression (unweighted),PR,0.9772727272727273,0.09862385321100918
Logistic Regression (unweighted),PR,0.9772727272727273,0.09873708381171067
Logistic Regression (unweighted),PR,0.9772727272727273,0.09885057471264368
Logistic Regression (unweighted),PR,0.9772727272727273,0.09896432681242807
Logistic Regression (unweighted),PR,0.9772727272727273,0.09907834101382489
Logistic Regression (unweighted),PR,0.9772727272727273,0.09919261822376009
Logistic Regression (unweighted),PR,0.9772727272727273,0.09930715935334873
Logistic Regression (unweighted),PR,0.9772727272727273,0.09942196531791908
Logistic Regression (unweighted),PR,0.9772727272727273,0.09953703703703703
Logistic Regression (unweighted),PR,0.9772727272727273,0.0996523754345307
Logistic Regression (unweighted),PR,0.9772727272727273,0.09976798143851508
Logistic Regression (unweighted),PR,0.9772727272727273,0.09988385598141696
Logistic Regression (unweighted),PR,0.9772727272727273,0.1
Logistic Regression (unweighted),PR,0.9772727272727273,0.10011641443538999
Logistic Regression (unweighted),PR,0.9772727272727273,0.10023310023310024
Logistic Regression (unweighted),PR,0.9772727272727273,0.10035005834305717
Logistic Regression (unweighted),PR,0.9772727272727273,0.10046728971962617
Logistic Regression (unweighted),PR,0.9772727272727273,0.10058479532163743
Logistic Regression (unweighted),PR,0.9772727272727273,0.10070257611241218
Logistic Regression (unweighted),PR,0.9659090909090909,0.09964830011723329
Logistic Regression (unweighted),PR,0.9659090909090909,0.09976525821596244
Logistic Regression (unweighted),PR,0.9659090909090909,0.099882491186839
Logistic Regression (unweighted),PR,0.9659090909090909,0.1
Logistic Regression (unweighted),PR,0.9545454545454546,0.0989399293286219
Logistic Regression (unweighted),PR,0.9545454545454546,0.09905660377358491
Logistic Regression (unweighted),PR,0.9545454545454546,0.09917355371900827
Logistic Regression (unweighted),PR,0.9545454545454546,0.09929078014184398
Logistic Regression (unweighted),PR,0.9545454545454546,0.09940828402366864
Logistic Regression (unweighted),PR,0.9545454545454546,0.0995260663507109
Logistic Regression (unweighted),PR,0.9545454545454546,0.099644128113879
Logistic Regression (unweighted),PR,0.9545454545454546,0.0997624703087886
Logistic Regression (unweighted),PR,0.9545454545454546,0.09988109393579073
Logistic Regression (unweighted),PR,0.9545454545454546,0.1
Logistic Regression (unweighted),PR,0.9545454545454546,0.10011918951132301
Logistic Regression (unweighted),PR,0.9545454545454546,0.10023866348448687
Logistic Regression (unweighted),PR,0.9545454545454546,0.1003584229390681
Logistic Regression (unweighted),PR,0.9545454545454546,0.10047846889952153
Logistic Regression (unweighted),PR,0.9545454545454546,0.10059880239520957
Logistic Regression (unweighted),PR,0.9545454545454546,0.10071942446043165
Logistic Regression (unweighted),PR,0.9545454545454546,0.10084033613445378
Logistic Regression (unweighted),PR,0.9545454545454546,0.10096153846153846
Logistic Regression (unweighted),PR,0.9545454545454546,0.10108303249097472
Logistic Regression (unweighted),PR,0.9545454545454546,0.10120481927710843
Logistic Regression (unweighted),PR,0.9545454545454546,0.10132689987937274
Logistic Regression (unweighted),PR,0.9545454545454546,0.10144927536231885
Logistic Regression (unweighted),PR,0.9545454545454546,0.10157194679564692
Logistic Regression (unweighted),PR,0.9545454545454546,0.1016949152542373
Logistic Regression (unweighted),PR,0.9545454545454546,0.10181818181818182
Logistic Regression (unweighted),PR,0.9545454545454546,0.10194174757281553
Logistic Regression (unweighted),PR,0.9545454545454546,0.10206561360874848
Logistic Regression (unweighted),PR,0.9545454545454546,0.10218978102189781
Logistic Regression (unweighted),PR,0.9545454545454546,0.1023142509135201
Logistic Regression (unweighted),PR,0.9545454545454546,0.1024390243902439
Logistic Regression (unweighted),PR,0.9545454545454546,0.10256410256410256
Logistic Regression (unweighted),PR,0.9545454545454546,0.10268948655256724
Logistic Regression (unweighted),PR,0.9545454545454546,0.10281517747858017
Logistic Regression (unweighted),PR,0.9545454545454546,0.10294117647058823
Logistic Regression (unweighted),PR,0.9545454545454546,0.10306748466257669
Logistic Regression (unweighted),PR,0.9545454545454546,0.10319410319410319
Logistic Regression (unweighted),PR,0.9545454545454546,0.1033210332103321
Logistic Regression (unweighted),PR,0.9545454545454546,0.10344827586206896
Logistic Regression (unweighted),PR,0.9545454545454546,0.10357583230579531
Logistic Regression (unweighted),PR,0.9545454545454546,0.1037037037037037
Logistic Regression (unweighted),PR,0.9545454545454546,0.103831891223733
Logistic Regression (unweighted),PR,0.9545454545454546,0.10396039603960396
Logistic Regression (unweighted),PR,0.9545454545454546,0.10408921933085502
Logistic Regression (unweighted),PR,0.9545454545454546,0.10421836228287841
Logistic Regression (unweighted),PR,0.9545454545454546,0.10434782608695652
Logistic Regression (unweighted),PR,0.9545454545454546,0.1044776119402985
Logistic Regression (unweighted),PR,0.9545454545454546,0.10460772104607721
Logistic Regression (unweighted),PR,0.9545454545454546,0.10473815461346633
Logistic Regression (unweighted),PR,0.9545454545454546,0.10486891385767791
Logistic Regression (unweighted),PR,0.9545454545454546,0.105
Logistic Regression (unweighted),PR,0.9545454545454546,0.10513141426783479
Logistic Regression (unweighted),PR,0.9545454545454546,0.10526315789473684
Logistic Regression (unweighted),PR,0.9545454545454546,0.1053952321204517
Logistic Regression (unweighted),PR,0.9545454545454546,0.10552763819095477
Logistic Regression (unweighted),PR,0.9545454545454546,0.10566037735849057
Logistic Regression (unweighted),PR,0.9545454545454546,0.10579345088161209
Logistic Regression (unweighted),PR,0.9545454545454546,0.10592686002522068
Logistic Regression (unweighted),PR,0.9545454545454546,0.10606060606060606
